species	proteome_id	tax_id	superregnum	uniprot_fasta_file	count	mean	var	log10_mean	log10_var	division_both_dbs
Halorubrum vacuolatum (Natronobacterium vacuolatum)	UP000198397	63740	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000198397/UP000198397_63740.fasta.gz	3371.0	297.2916048650252	51095.712270747084	2.3677055574820858	0.0970639750800903	archaea
Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1) (Halobacterium halobium)	UP000000554	64091	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000000554/UP000000554_64091.fasta.gz	2423.0	280.58439950474616	35824.48492580565	2.34880282631762	0.0941757320861462	archaea
Thermococcus kodakarensis (strain ATCC BAA-918 / JCM 12380 / KOD1) (Pyrococcus kodakaraensis (strain KOD1))	UP000000536	69014	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000000536/UP000000536_69014.fasta.gz	2301.0	277.1316818774446	37740.15613060484	2.3503756629262806	0.0829314812508846	archaea
Methanoculleus bourgensis	UP000069850	83986	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000069850/UP000069850_83986.fasta.gz	3446.0	238.8047011027278	38049.07099095562	2.2535662289200324	0.1125534455287794	archaea
Methanimicrococcus blatticola	UP000294855	91560	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000294855/UP000294855_91560.fasta.gz	1537.0	309.9577098243331	48868.850423918346	2.393472593085308	0.0901357779715172	archaea
Geoglobus ahangari	UP000034723	113653	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000034723/UP000034723_113653.fasta.gz	1973.0	273.7622909275215	31553.791843024854	2.3500565121919887	0.0806585577324382	archaea
Methanobacterium congolense	UP000094707	118062	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000094707/UP000094707_118062.fasta.gz	2340.0	283.1059829059829	39220.26238402706	2.3596187931279844	0.0846879490172269	archaea
Pyrobaculum aerophilum (strain ATCC 51768 / IM2 / DSM 7523 / JCM 9630 / NBRC 100827)	UP000002439	178306	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000002439/UP000002439_178306.fasta.gz	2590.0	252.87644787644788	36454.660665631694	2.29786538652178	0.0967597793313209	archaea
Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	UP000001013	186497	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000001013/UP000001013_186497.fasta.gz	2045.0	282.41809290953546	32686.112294795665	2.366380349820936	0.0795468032675323	archaea
Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) (Methanobacterium thermoautotrophicum)	UP000005223	187420	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000005223/UP000005223_187420.fasta.gz	1868.0	280.7864025695931	38119.10218244525	2.357654884274534	0.0817383016297989	archaea
Methanosarcina acetivorans (strain ATCC 35395 / DSM 2834 / JCM 12185 / C2A)	UP000002487	188937	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000002487/UP000002487_188937.fasta.gz	4468.0	311.6195165622202	69666.5169416064	2.38523077248333	0.0915841215678483	archaea
Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	UP000001826	190192	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000001826/UP000001826_190192.fasta.gz	1687.0	296.9519857735625	37939.03387357512	2.39643966379014	0.0678077993523646	archaea
Methanobrevibacter thaueri	UP000251717	190975	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000251717/UP000251717_190975.fasta.gz	2136.0	305.26825842696627	67833.92285148542	2.3727926659074665	0.0971798287192706	archaea
Methanobrevibacter woesei	UP000245577	190976	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000245577/UP000245577_190976.fasta.gz	1581.0	290.5452245414295	40295.62659268689	2.3736135332910906	0.0812390081441322	archaea
Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	UP000002199	224325	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000002199/UP000002199_224325.fasta.gz	2394.0	276.0284043441938	33620.04599603201	2.350696467969529	0.0843914544576643	archaea
Methanobrevibacter sp. AbM4	UP000014066	224719	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000014066/UP000014066_224719.fasta.gz	1663.0	301.7227901383043	48316.699883425856	2.389055689074454	0.0802634555678222	archaea
Nanoarchaeum equitans (strain Kin4-M)	UP000000578	228908	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000000578/UP000000578_228908.fasta.gz	536.0	282.5634328358209	41245.880080903895	2.365786011297127	0.0723057823881379	archaea
Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	UP000000805	243232	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000000805/UP000000805_243232.fasta.gz	1787.0	282.6871852266368	41469.3158659248	2.363459047097156	0.0767171939251804	archaea
Natronolimnobius baerhuensis	UP000196084	253108	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000196084/UP000196084_253108.fasta.gz	3662.0	297.43610049153466	41890.884061053	2.380861309662864	0.0842323294448109	archaea
Methanococcoides burtonii (strain DSM 6242 / NBRC 107633 / OCM 468 / ACE-M)	UP000001979	259564	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000001979/UP000001979_259564.fasta.gz	2242.0	301.80463871543265	41904.853383202746	2.3932911293029253	0.0777382270303075	archaea
Ferroplasma sp. Type II	UP000018013	261388	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000018013/UP000018013_261388.fasta.gz	2671.0	248.9434668663422	29567.09155936211	2.2915098412758828	0.1005532100357629	archaea
Thermoplasmatales archaeon Gpl	UP000018202	261391	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000018202/UP000018202_261391.fasta.gz	1917.0	279.67762128325506	38465.00248953708	2.3443092138896584	0.0962539970610787	archaea
Picrophilus torridus (strain ATCC 700027 / DSM 9790 / JCM 10055 / NBRC 100828)	UP000000438	263820	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000000438/UP000000438_263820.fasta.gz	1535.0	307.0117263843648	39236.75214401896	2.405609151348505	0.0743722332264982	archaea
Methanococcus maripaludis (strain S2 / LL)	UP000000590	267377	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000000590/UP000000590_267377.fasta.gz	1722.0	284.9006968641115	31574.8599762718	2.37615281213456	0.0720286085731824	archaea
Natronomonas moolapensis (strain DSM 18674 / CECT 7526 / JCM 14361 / 8.8.11)	UP000011867	268739	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000011867/UP000011867_268739.fasta.gz	2723.0	297.31619537275066	54572.626287944186	2.3686047288666323	0.0939578036919443	archaea
Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	UP000002518	272557	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000002518/UP000002518_272557.fasta.gz	1700.0	289.4370588235294	37237.84594778936	2.3759189571453856	0.0780099978334053	archaea
Haloarcula marismortui (strain ATCC 43049 / DSM 3752 / JCM 8966 / VKM B-1809) (Halobacterium marismortui)	UP000001169	272569	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000001169/UP000001169_272569.fasta.gz	4234.0	283.56093528578174	40610.87615844466	2.349110733301492	0.0971801289270088	archaea
Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) (Sulfolobus solfataricus)	UP000001974	273057	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000001974/UP000001974_273057.fasta.gz	2938.0	281.784547311096	29817.26068043852	2.3733509060371474	0.0694399836864169	archaea
Sulfurisphaera tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7) (Sulfolobus tokodaii)	UP000001015	273063	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000001015/UP000001015_273063.fasta.gz	2805.0	270.21319073083777	32346.71630240476	2.344453123207495	0.0778661662276791	archaea
Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165)	UP000001024	273075	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000001024/UP000001024_273075.fasta.gz	1482.0	305.8245614035088	38254.30140848407	2.408575601004133	0.0686560234715026	archaea
Methanocella paludicola (strain DSM 17711 / JCM 13418 / NBRC 101707 / SANAE)	UP000001882	304371	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000001882/UP000001882_304371.fasta.gz	2993.0	284.788172402272	34908.81206594353	2.369547991103621	0.0767437137650536	archaea
Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	UP000008243	309800	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000008243/UP000008243_309800.fasta.gz	3911.0	284.95602147788287	36781.39806539494	2.357871860069729	0.092269089467025	archaea
Caldiarchaeum subterraneum	UP000008120	311458	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000008120/UP000008120_311458.fasta.gz	2154.0	293.37975858867225	35016.4167939965	2.387625685246664	0.0723229270873531	archaea
Acidiplasma cupricumulans	UP000050301	312540	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000050301/UP000050301_312540.fasta.gz	1683.0	295.5335710041592	32019.6865952665	2.391876821391669	0.0735758960831863	archaea
Methanospirillum hungatei JF-1 (strain ATCC 27890 / DSM 864 / NBRC 100397 / JF-1)	UP000001941	323259	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000001941/UP000001941_323259.fasta.gz	3087.0	322.7201166180758	55586.86071962347	2.411587873640876	0.0852901817200019	archaea
Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	UP000001018	330779	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000001018/UP000001018_330779.fasta.gz	2222.0	284.4230423042304	32913.72640262676	2.370200095420276	0.0767500612681258	archaea
Methanosphaera stadtmanae (strain ATCC 43021 / DSM 3091 / JCM 11832 / MCB-3)	UP000001931	339860	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000001931/UP000001931_339860.fasta.gz	1533.0	322.00260926288325	85327.54176864422	2.39936844814626	0.089354208303537	archaea
Natronomonas pharaonis (strain ATCC 35678 / DSM 2160 / CIP 103997 / NBRC 14720 / NCIMB 2260 / Gabara) (Halobacterium pharaonis)	UP000002698	348780	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000002698/UP000002698_348780.fasta.gz	2764.0	293.102026049204	42617.66385401887	2.365471585509785	0.0948400987470804	archaea
Methanothrix thermoacetophila (strain DSM 6194 / JCM 14653 / NBRC 101360 / PT) (Methanosaeta thermophila)	UP000000674	349307	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000000674/UP000000674_349307.fasta.gz	1673.0	303.69754931261207	46100.85583729197	2.396733222375312	0.075803376155324	archaea
Methanocella arvoryzae (strain DSM 22066 / NBRC 105507 / MRE50)	UP000000663	351160	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000000663/UP000000663_351160.fasta.gz	3071.0	289.7684793226962	33744.59752078125	2.382845398484851	0.0706476058005046	archaea
Halobacterium jilantaiense	UP000198518	355548	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000198518/UP000198518_355548.fasta.gz	3054.0	289.4816633922724	40385.69160601047	2.3655417670716794	0.0886783499740963	archaea
Halobiforma lacisalsi AJ5	UP000011555	358396	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000011555/UP000011555_358396.fasta.gz	4151.0	292.06215369790414	40316.01011189059	2.3668088906671505	0.0917496709486178	archaea
Haloquadratum walsbyi (strain DSM 16790 / HBSQ001)	UP000001975	362976	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000001975/UP000001975_362976.fasta.gz	2558.0	301.88272087568413	79756.86695982117	2.3774791484436424	0.0894334128749632	archaea
Thermofilum pendens (strain DSM 2475 / Hrk 5)	UP000000641	368408	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000000641/UP000000641_368408.fasta.gz	1876.0	290.0501066098081	34033.78628798862	2.379214440606144	0.0760953315227567	archaea
Korarchaeum cryptofilum (strain OPF8)	UP000001686	374847	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000001686/UP000001686_374847.fasta.gz	1602.0	296.5049937578028	36478.742323578976	2.3939829189626423	0.0698602162378806	archaea
Archaeoglobus sulfaticallidus PM70-1	UP000013307	387631	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000013307/UP000013307_387631.fasta.gz	2213.0	273.1839132399457	35362.0497953487	2.3392603957834783	0.0914979051363241	archaea
Thermococcus barophilus (strain DSM 11836 / MP)	UP000007478	391623	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000007478/UP000007478_391623.fasta.gz	2265.0	278.8256070640177	38606.81983868829	2.346961177922202	0.0922387562626236	archaea
Caldivirga maquilingensis (strain ATCC 700844 / DSM 13496 / JCM 10307 / IC-167)	UP000001137	397948	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000001137/UP000001137_397948.fasta.gz	1962.0	306.28848114169216	37061.83004572861	2.4077018229677094	0.0725167873992664	archaea
Metallosphaera sedula (strain ATCC 51363 / DSM 5348 / JCM 9185 / NBRC 15509 / TH2)	UP000000242	399549	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000000242/UP000000242_399549.fasta.gz	2256.0	283.822695035461	32186.83506785551	2.3728137143175574	0.0722555547357873	archaea
Staphylothermus marinus (strain ATCC 43588 / DSM 3639 / JCM 9404 / F1)	UP000000254	399550	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000000254/UP000000254_399550.fasta.gz	1570.0	289.6847133757961	37490.69275533527	2.3768096563085206	0.075951976093189	archaea
Methanocorpusculum labreanum (strain ATCC 43576 / DSM 4855 / Z)	UP000000365	410358	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000000365/UP000000365_410358.fasta.gz	1739.0	300.4767107533065	37273.72716155668	2.401366821588118	0.0681767032790606	archaea
Cenarchaeum symbiosum (strain A)	UP000000758	414004	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000000758/UP000000758_414004.fasta.gz	2022.0	308.51285855588526	285597.2732140909	2.3227305395297737	0.1168968835903245	archaea
Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	UP000002593	415426	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000002593/UP000002593_415426.fasta.gz	1602.0	280.792759051186	34870.86270831042	2.367847722836283	0.0700833203268065	archaea
Methanococcus aeolicus (strain ATCC BAA-1280 / DSM 17508 / OCM 812 / Nankai-3)	UP000001106	419665	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000001106/UP000001106_419665.fasta.gz	1490.0	294.748322147651	34954.345615047256	2.388950884969651	0.0746429679830481	archaea
Candidatus Micrarchaeum acidiphilum ARMAN-2	UP000332487	425595	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000332487/UP000332487_425595.fasta.gz	1025.0	296.3609756097561	40047.62347560976	2.390601379847581	0.0702871815700108	archaea
Nitrosopumilus maritimus (strain SCM1)	UP000000792	436308	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000000792/UP000000792_436308.fasta.gz	1795.0	274.99721448467966	84773.12095098797	2.3430144057881312	0.0794031387135932	archaea
Aciduliprofundum boonei (strain DSM 19572 / T469)	UP000001400	439481	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000001400/UP000001400_439481.fasta.gz	1539.0	303.49577647823264	51886.33987161711	2.384448219853072	0.0866461260214928	archaea
Ignicoccus hospitalis (strain KIN4/I / DSM 18386 / JCM 14125)	UP000000262	453591	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000000262/UP000000262_453591.fasta.gz	1434.0	278.29776847977683	33273.687266475325	2.362439898347522	0.0731712151505869	archaea
Methanococcus voltae (strain ATCC BAA-1334 / A3)	UP000007722	456320	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000007722/UP000007722_456320.fasta.gz	1658.0	299.48311218335346	44057.624639192	2.3816530128365936	0.0874518674147186	archaea
Methanoregula boonei (strain DSM 21154 / JCM 14090 / 6A8)	UP000002408	456442	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000002408/UP000002408_456442.fasta.gz	2450.0	296.8861224489796	44757.033576220194	2.3841549431919886	0.0781170779275041	archaea
Halogeometricum borinquense (strain ATCC 700274 / DSM 11551 / JCM 10706 / KCTC 4070 / PR3)	UP000006663	469382	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000006663/UP000006663_469382.fasta.gz	3894.0	290.19414483821265	42159.41927215574	2.360386036620534	0.0962909165220669	archaea
Halomicrobium mukohataei (strain ATCC 700874 / DSM 12286 / JCM 9738 / NCIMB 13541) (Haloarcula mukohataei)	UP000001746	485914	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000001746/UP000001746_485914.fasta.gz	3343.0	286.36374513909664	37866.64861936291	2.3582877989167943	0.0931388252260014	archaea
Desulfurococcus amylolyticus (strain DSM 18924 / JCM 16383 / VKM B-2413 / 1221n) (Desulfurococcus kamchatkensis)	UP000006903	490899	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000006903/UP000006903_490899.fasta.gz	1470.0	272.43265306122447	35420.35182617635	2.328691689670579	0.1035755068581244	archaea
Methanosphaerula palustris (strain ATCC BAA-1556 / DSM 19958 / E1-9c)	UP000002457	521011	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000002457/UP000002457_521011.fasta.gz	2655.0	308.13295668549904	58290.83574464583	2.3754955876667965	0.1054853048465636	archaea
Methanothermus fervidus (strain ATCC 43054 / DSM 2088 / JCM 10308 / V24 S)	UP000002315	523846	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000002315/UP000002315_523846.fasta.gz	1283.0	299.1013250194856	39542.30641789975	2.394192967615788	0.0740610211777507	archaea
Haloterrigena turkmenica (strain ATCC 51198 / DSM 5511 / JCM 9101 / NCIMB 13204 / VKM B-1734 / 4k) (Halococcus turkmenicus)	UP000001903	543526	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000001903/UP000001903_543526.fasta.gz	5113.0	288.280070408762	40223.07803974465	2.3573146973298176	0.097313576904841	archaea
Methanohalophilus mahii (strain ATCC 35705 / DSM 5219 / SLP)	UP000001059	547558	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000001059/UP000001059_547558.fasta.gz	1986.0	296.9405840886204	50468.19697174934	2.371117121915345	0.0930710556798022	archaea
Natrialba magadii (strain ATCC 43099 / DSM 3394 / CIP 104546 / JCM 8861 / NBRC 102185 / NCIMB 2190 / MS3) (Natronobacterium magadii)	UP000001879	547559	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000001879/UP000001879_547559.fasta.gz	4203.0	292.0813704496788	39866.71065476111	2.3650508715816367	0.0961525421308825	archaea
Halopelagius inordinatus	UP000198876	553467	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000198876/UP000198876_553467.fasta.gz	3559.0	287.7577971340264	37350.38426675928	2.365273504546337	0.0870903922062847	archaea
Haladaptatus litoreus	UP000186914	553468	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000186914/UP000186914_553468.fasta.gz	4885.0	265.135516888434	34992.511524942645	2.313652857498085	0.104576462093278	archaea
Haloplanus vescus	UP000236755	555874	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000236755/UP000236755_555874.fasta.gz	2791.0	287.7391615908277	39118.63373105309	2.3627199540768937	0.0887359232158253	archaea
Natronoarchaeum philippinense	UP000219453	558529	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000219453/UP000219453_558529.fasta.gz	3284.0	282.83252131546897	40178.95336177993	2.349026802653793	0.0957103698773069	archaea
Vulcanisaeta distributa (strain DSM 14429 / JCM 11212 / NBRC 100878 / IC-017)	UP000006681	572478	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000006681/UP000006681_572478.fasta.gz	2493.0	284.29643000401126	33982.43095434472	2.366816242548054	0.0817771132712128	archaea
Archaeoglobus profundus (strain DSM 5631 / JCM 9629 / NBRC 100127 / Av18)	UP000001901	572546	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000001901/UP000001901_572546.fasta.gz	1822.0	262.75686059275523	34793.170394971225	2.3199284941844063	0.0911299532575532	archaea
Ignisphaera aggregans (strain DSM 17230 / JCM 13409 / AQ1.S1)	UP000001304	583356	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000001304/UP000001304_583356.fasta.gz	1929.0	278.5826853291861	36245.18934734958	2.3467702625292755	0.0934126804043908	archaea
Haloterrigena daqingensis	UP000185687	588898	archaea	/ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000185687/UP000185687_588898.fasta.gz	3795.0	287.4300395256917	39771.08807999317	2.3567032492909856	0.0964960840146161	archaea
