genes_species	genes_mean	genes_var	tax_id	prots_superregnum	prots_mean	prots_var	merged_division_superregnum
acidiphilium_rubrum_gca_900156265	966.9528710725892	424066.87884030526	526	bacteria	322.1928202338863	47143.86514974271	bacteria
vibrio_diazotrophicus_gca_002892785	977.3425061425062	413932.147099149	685	bacteria	325.50246062992125	45955.17646453205	bacteria
vibrio_nereis_gca_001274805	967.3708356089568	376854.1175649393	693	bacteria	321.92814207650275	41861.085570201176	bacteria
actinobacillus_seminis_gca_002263215	940.6308526367668	646144.4933474483	722	bacteria	312.83925049309664	71828.22081680354	bacteria
haemophilus_paracuniculus_gca_002015115	925.5168655941878	413587.0888898588	734	bacteria	307.8406850025947	45954.05508322731	bacteria
bdellovibrio_bacteriovorus_gca_001592735	965.2489224137933	417881.9671236028	959	bacteria	321.08297413793105	46431.3296804003	bacteria
bacteriovorax_stolpii_gca_002872415	952.3653433476396	406472.89519784297	960	bacteria	316.9795753829616	45204.028077346535	bacteria
oceanospirillum_linum_gca_001995095	945.4320142814638	428324.0210462093	966	bacteria	314.53186420488385	47600.7191213971	bacteria
selenomonas_ruminantium_gca_900100835	966.7082518576456	526651.5486525375	971	bacteria	319.58200853043815	48693.10139844679	bacteria
chitinophaga_sancti_gca_900119105	1086.3190760059613	989051.2535188956	1004	bacteria	361.9931312527997	109952.94798148712	bacteria
erythrobacter_longus_gca_000715015	1001.9636533084808	673272.4719538337	1044	bacteria	333.3215284249767	74807.98888069612	bacteria
rhodopila_globiformis_gca_002937115	931.65655261459	395702.8699183154	1071	bacteria	310.41193595342065	43929.206373200686	bacteria
rhodopseudomonas_palustris_gca_000935205	870.5239204443648	345849.86416785314	1076	bacteria	289.59193548387094	38422.27779836831	bacteria
blastochloris_viridis_gca_001459775	963.4061349693252	564860.5346048789	1079	bacteria	320.50632520826906	63053.990160596666	bacteria
synechococcus_elongatus_pcc_7942_gca_000012525	914.967305524239	382362.5820133762	1140	bacteria	304.21001129092963	42538.41145094114	bacteria
nitrosovibrio_tenuis_gca_900109785	919.8500174398324	497120.29152390064	1233	bacteria	306.2071253929445	55231.43192684906	bacteria
leuconostoc_fallax_gca_004354645	910.4882716049384	372247.1468666834	1251	bacteria	302.92835083384807	41372.97755790898	bacteria
clostridium_ventriculi_gca_001404895	947.6527590847912	379402.3335886587	1267	bacteria	315.3298922800718	42146.6181091936	bacteria
streptococcus_parasanguinis_gca_000963275	947.4767501277464	516733.4980532366	1318	bacteria	315.42659137577004	57489.42809582267	bacteria
bacillus_anthracis_czc5_gca_000534935	799.7416942076883	365459.3116589941	1392	bacteria	262.02313296903463	39896.31081474092	bacteria
bacillus_circulans_gca_001029855	868.5680808080808	308973.81825758086	1397	bacteria	288.8585572842999	34336.84094383569	bacteria
sporosarcina_globispora_gca_001274725	857.0769380221489	354729.40760445845	1459	bacteria	285.3018536585366	39503.07143489271	bacteria
psychrobacillus_insolitus_gca_003254155	845.4406727828746	313673.23095457937	1461	bacteria	281.373125191307	34828.98412749289	bacteria
bacillus_lentus_gca_900478165	898.4223968565815	329768.9647451256	1467	bacteria	298.80746561886053	36640.99608279175	bacteria
virgibacillus_pantothenticus_gca_001189575	860.6469242501271	322932.9866711883	1473	bacteria	286.5146571501402	35909.44719714785	bacteria
sporosarcina_pasteurii_gca_900457495	887.18	306777.0800063513	1474	bacteria	295.2647994907702	34138.26478408904	bacteria
sporosarcina_psychrophila_gca_001590685	870.2751598389771	298713.9010573821	1476	bacteria	289.4925337757762	33200.70946297154	bacteria
bacillus_smithii_gca_001050115	740.5562310030396	326923.4542031484	1479	bacteria	245.40534329215745	36458.85662661344	bacteria
hathewaya_histolytica_gca_901482605	902.5581395348836	441412.8229077433	1498	bacteria	299.8587592664846	49180.22828682844	bacteria
gottschalkia_purinilytica_gca_001190785	858.6299908564462	335130.66549051827	1503	bacteria	286.01065773447016	37422.86281662482	bacteria
clostridium_septicum_gca_003606265	948.5109834403514	497254.6211605944	1504	bacteria	316.03713892709766	55789.44960061778	bacteria
paeniclostridium_sordellii_gca_000953555	887.1738253098875	370904.0588763952	1505	bacteria	295.04184704184706	41156.91424139114	bacteria
_clostridium_aminophilum_gca_900101295	1016.629246676514	512834.03833160806	1526	bacteria	338.87449092928546	56957.990537935184	bacteria
clostridium_cadaveris_gca_900113105	926.766935243211	439262.4576049029	1529	bacteria	308.7441651705565	48839.957575941575	bacteria
clostridium_fallax_gca_900129365	925.7713607594936	374577.5108217328	1533	bacteria	308.542641808806	41552.06653412919	bacteria
faecalicatena_orotica_gca_003149245	1002.5942846034214	434698.83069647424	1544	bacteria	333.8555858310627	48265.84521017844	bacteria
clostridium_estertheticum_subsp_estertheticum_gca_001877035	932.5742409867172	384479.76198400266	1552	bacteria	310.1782060433024	42807.158382597234	bacteria
leifsonia_xyli_gca_001647635	924.1289327575572	335488.41225119017	1575	bacteria	307.34712785670166	37287.22515548009	bacteria
lactobacillus_acetotolerans_gca_001042405	902.7377643504532	395625.9227265586	1600	bacteria	298.2952853598015	44483.75012052684	bacteria
lactobacillus_animalis_gca_000685785	885.1605206073752	415824.2780715682	1605	bacteria	294.39642082429503	46203.76083362856	bacteria
lactobacillus_farciminis_gca_001046795	935.763193504736	364708.7746735514	1612	bacteria	311.255299954894	40522.85176002957	bacteria
lactobacillus_fructivorans_gca_000814735	933.4941451990632	431164.46422350704	1614	bacteria	310.4980483996877	47907.16269150078	bacteria
weissella_viridescens_gca_001437355	923.4227086183312	440224.3673963545	1629	bacteria	307.140902872777	48913.81859959494	bacteria
arthrobacter_glacialis_gca_002909445	978.4766760132552	457877.9542620743	1664	bacteria	325.5057383320582	50898.409214512125	bacteria
bifidobacterium_cuniculi_gca_000741575	993.8751139471284	532254.356489385	1688	bacteria	331.11786203746004	59164.37732705408	bacteria
bifidobacterium_magnum_gca_000741255	1059.7830126078302	500677.1275200018	1692	bacteria	352.59654943596547	55629.70697347746	bacteria
bifidobacterium_minimum_gca_000741645	1031.367924528302	527783.3440932354	1693	bacteria	343.32032724984265	58619.48611676942	bacteria
corynebacterium_stationis_gca_001643075	976.09431630972	423922.33432285336	1705	bacteria	324.6976935749588	47102.32060448456	bacteria
corynebacterium_renale_gca_002563965	979.7324009324008	460945.63544689136	1724	bacteria	325.24507966260546	51343.22026410524	bacteria
eubacterium_oxidoreducens_gca_900104415	1001.0015214910612	669946.9231331485	1732	bacteria	333.5042016806723	74612.82401749388	bacteria
mycolicibacterium_fortuitum_gca_001307545	950.9383720930232	637924.2824615461	1766	bacteria	316.2994011976048	70963.3643450082	bacteria
mycolicibacterium_chitae_gca_900637205	982.592715231788	516342.0392299922	1792	bacteria	326.8242661448141	57557.30909982346	bacteria
mycolicibacterium_fallax_gca_002101995	966.9428421604616	411299.6426801969	1793	bacteria	321.9630314232902	45839.0324417325	bacteria
mycolicibacterium_chubuense_gca_001044255	965.0652631578948	458216.2645590639	1800	bacteria	321.0217543859649	50912.918284340434	bacteria
nocardioides_luteus_gca_000960475	969.9387717005786	338186.595951665	1844	bacteria	322.64663057681537	37576.42309030656	bacteria
pseudonocardia_thermophila_gca_900142365	942.52439440464	453150.8148799864	1848	bacteria	314.09726495726494	50284.30905389627	bacteria
dermatophilus_congolensis_gca_900187045	1016.3229571984436	466058.5855324277	1863	bacteria	338.3517957594115	51760.15800434961	bacteria
actinoplanes_utahensis_gca_000785985	942.5235045646546	518441.6092525841	1869	bacteria	313.520824742268	57739.83249863233	bacteria
streptomyces_actuosus_gca_003208035	986.9432814710044	518050.48072653415	1885	bacteria	328.35172608941707	57570.06192287276	bacteria
streptomyces_lincolnensis_gca_001685355	1030.8309662398135	462703.920428802	1915	bacteria	343.1177775183845	51503.07123073593	bacteria
streptomyces_albireticuli_gca_002192455	1004.0154949784792	946995.6028593116	1940	bacteria	334.0706287683032	105261.49508264835	bacteria
streptomyces_kasugaensis_gca_004320085	959.604924760602	556638.4426081144	1946	bacteria	319.2573187414501	61849.85975967265	bacteria
streptomyces_olivochromogenes_gca_002335465	945.8884360189572	482819.2235936292	1963	bacteria	314.6428097449995	53649.79125020091	bacteria
actinomadura_echinospora_gca_900108175	950.4209533392026	433847.2779961224	1992	bacteria	316.2608859803675	48202.55257185182	bacteria
actinomadura_madurae_gca_900115095	983.8435272843316	536981.3662583655	1993	bacteria	327.3565421058235	59670.726888893485	bacteria
streptoalloteichus_hindustanus_gca_900129375	955.0836903304772	503082.1614722861	2017	bacteria	317.82902188887186	55885.11788387169	bacteria
kibdelosporangium_aridum_gca_003947235	1013.338721528288	712063.5810411504	2030	bacteria	334.141921005386	81702.18948046419	bacteria
aeromicrobium_erythreum_gca_001509405	945.316581306018	445247.9058280783	2041	bacteria	314.55961538461537	49505.65146250032	bacteria
pimelobacter_simplex_gca_000785495	954.0433099889422	387653.4759119175	2045	bacteria	317.51640250645045	43179.564062705416	bacteria
kitasatospora_griseola_gca_000836635	953.2995267072346	677664.0559997759	2064	bacteria	317.48902127659574	75635.73000372358	bacteria
saccharothrix_australiensis_gca_003634935	1045.6612582274606	1187227.9646914357	2072	bacteria	348.3201411259396	132200.5349594155	bacteria
pseudonocardia_autotrophica_gca_002119215	957.1549562682216	569960.8468117053	2074	bacteria	318.42688438547896	63326.17265711859	bacteria
mycoplasma_californicum_gca_000695835	1132.9852700491	972486.132569558	2113	bacteria	377.0622950819672	108228.67919997846	bacteria
spiroplasma_gladiatoris_gca_004379335	1013.3046875	496969.17393695016	2143	bacteria	337.1015625	55218.79710410557	bacteria
halorubrum_saccharovorum_gca_000700025	753.1865639709029	259332.29052145063	2248	archaea	250.64181662382177	28808.60804059045	archaea
pyrodictium_occultum_gca_001462395	856.8583905177792	313432.2202588312	2309	archaea	285.0923845193508	34816.34873647166	archaea
vagococcus_salmoninarum_gca_003987495	943.9307826086956	401092.1145531451	2739	bacteria	314.6365862189577	44561.87593179898	bacteria
peptococcus_niger_gca_900101835	953.7132034632036	561942.1700042422	2741	bacteria	317.0704989154013	62422.34011673413	bacteria
brochothrix_thermosphacta_gca_002381265	911.9461251554084	388881.2649238268	2756	bacteria	303.2913549459684	43296.41611650016	bacteria
chondrus_crispus	1237.444580401754	1375793.0350427746	2769	eukaryota	355.40383413211083	118062.26911940228	plants
ectocarpus_siliculosus_gca_000310025	6836.105906939579	34733793.38446782	2880	eukaryota	519.0743234970001	294770.84135010565	protists
symbiodinium_microadriaticum_gca_001939145	12164.65189042232	228268308.7452517	2951	eukaryota	746.8186692551249	627710.0959896222	protists
chlamydomonas_reinhardtii	5339.103590148227	16858486.012152027	3055	eukaryota	738.9493584648575	627478.3044812214	plants
marchantia_polymorpha	3752.2147560533	11167752.998469375	3197	eukaryota	405.49869246861925	154190.5934393698	plants
physcomitrella_patens	3300.920332568096	7394574.721788663	3218	eukaryota	374.3525361048235	135673.94151806904	plants
cucumis_sativus	3154.808915054668	10854683.997548675	3659	eukaryota	367.9008170485175	90262.8279250368	plants
populus_trichocarpa	3107.2188943994192	7471355.366609655	3694	eukaryota	370.3113890717577	95790.1848055097	plants
arabidopsis_thaliana	2371.75293180831	2676062.250172386	3702	eukaryota	404.9012669287899	90791.83355429828	plants
brassica_rapa	2017.6495197230483	3249422.398554149	3711	eukaryota	384.7982556405924	74807.82369697951	plants
malus_domestica_golden	3588.613996652225	17565884.916822527	3750	eukaryota	393.4081343776541	130382.86836235793	plants
prunus_dulcis	3203.1619640238887	21755525.608306445	3755	eukaryota	403.517183509668	96519.96280077955	plants
prunus_persica	3238.659249060396	7037313.518336695	3760	eukaryota	409.8615860245093	101355.18310562716	plants
glycine_max	3851.6952788163935	15002068.94215479	3847	eukaryota	389.04212693581593	95818.5615331994	plants
medicago_truncatula	2620.0427801126	8219061.625352983	3880	eukaryota	329.8829970373929	90471.20846997664	plants
phaseolus_vulgaris	3609.946363830241	11756658.227279814	3885	eukaryota	410.4240185581728	96965.5118753528	plants
vigna_angularis	2875.2808033077376	11762774.774509646	3914	eukaryota	371.9381262970649	93911.84547035435	plants
manihot_esculenta	3503.223550417625	14064794.484388012	3983	eukaryota	389.1125550326401	97200.09648868932	plants
capsicum_annuum	4385.321272143953	38468125.33049409	4072	eukaryota	364.26386857207154	79434.56429270527	plants
solanum_lycopersicum	4319.1109529756895	34327437.20431508	4081	eukaryota	353.79348955327254	103554.29719809654	plants
solanum_tuberosum	3022.705081878988	6845789.05566587	4113	eukaryota	309.12043236060714	54132.6408760454	plants
helianthus_annuus	3828.534901990841	23767554.002944663	4232	eukaryota	348.32540983606555	88707.76494694263	plants
oryza_rufipogon	3596.4597663942163	18981821.36476238	4529	eukaryota	379.8849905685799	115999.4197941132	plants
oryza_brachyantha	2961.254643068952	56412438.72358041	4533	eukaryota	353.1057238425709	94875.41335632	plants
oryza_nivara	3666.442981852229	18159161.800291747	4536	eukaryota	385.3902936153804	114815.57954935876	plants
oryza_punctata	3949.467004596688	22752248.47347126	4537	eukaryota	408.1279741943726	118711.52309828818	plants
setaria_italica	2502.809829477268	4996308.471676752	4555	eukaryota	367.107447970645	88083.79175993236	plants
setaria_viridis	3065.636562842385	7446812.7447002195	4556	eukaryota	362.9915792235048	88138.49325262812	plants
sorghum_bicolor	3712.954334955155	13893231.960220825	4558	eukaryota	387.2005823358136	91762.99205966089	plants
triticum_aestivum	3487.2642335766423	17059847.548280466	4565	eukaryota	417.4425524219264	89508.81030387532	plants
triticum_urartu	3266.0344662803896	15972765.093223795	4572	eukaryota	363.74966978866473	90120.65082094108	plants
zea_mays	4161.52820085373	31471880.91867299	4577	eukaryota	391.8371532272393	96418.25481433336	plants
plasmopara_halstedii_gca_900000015	1292.457689572694	2262149.020529986	4781	eukaryota	380.1896562884329	227125.49276974853	protists
phytophthora_megakarya_gca_002215365	1104.0041087231352	1251134.3425685272	4795	eukaryota	315.60108786370046	93775.06296203531	protists
absidia_glauca_gca_900079185	1640.605130615808	1816098.1168682352	4829	eukaryota	441.81949409780776	136017.54984931232	fungi
pichia_membranifaciens_gca_001950575	1651.8253663223636	1331424.0139455346	4926	eukaryota	519.0521634615385	152259.42574670087	fungi
lachancea_fermentati_gca_900074765	1478.1989298681444	1131387.7354575703	4955	eukaryota	487.9600305985848	124934.40027666316	fungi
kockovaella_imperatae_gca_002102565	1962.306547619048	1379648.9180575153	4999	eukaryota	493.3175419599351	123360.36267044292	fungi
aspergillus_oryzae_gca_002007945	1871.9773917597763	2116653.762299822	5062	eukaryota	530.6969988625426	162216.2925889973	fungi
penicillium_griseofulvum_gca_001561935	1732.2527518172378	1676668.2250287754	5078	eukaryota	520.3107602825094	164343.25627975844	fungi
rhodotorula_toruloides_gca_001255795	2208.396789599364	2290956.491999776	5286	eukaryota	567.2774813233725	174819.57316062006	fungi
lentinula_edodes_gca_002003045	1867.525184631981	1998921.4133698312	5353	eukaryota	439.5463224306824	123336.6389084337	fungi
ascochyta_rabiei_gca_001630375	1725.6635522838808	1836817.111992817	5454	eukaryota	511.0375071036181	148459.95710402454	fungi
trichoderma_harzianum_gca_000988865	1691.753087493477	1936302.2536327213	5544	eukaryota	504.6342524136732	192144.18867705285	fungi
trichophyton_rubrum_gca_001651445	1933.3185363778184	2246508.6446194747	5551	eukaryota	555.4788852552254	198953.93957827936	fungi
alternaria_alternata_gca_001642055	1725.9342789246994	1227183.6762596993	5599	eukaryota	456.66745896159847	117304.86615761188	fungi
phialophora_americana_gca_000835435	2137.6451140214303	1412910.676114383	5601	eukaryota	504.1152120157524	118169.60606917788	fungi
grifola_frondosa_gca_001683735	1589.507347563003	1878842.8827595485	5627	eukaryota	366.0306306306306	97612.64181397091	fungi
trametes_cinnabarina_gca_000765035	1827.765660119222	1625442.7621240194	5643	eukaryota	484.342043222004	122712.48148202192	fungi
naegleria_gruberi_gca_000004985	1677.8417467693678	2567422.131562419	5762	eukaryota	502.12434437763847	182587.15552194265	protists
dictyostelium_purpureum_gca_000190715	1759.5555286716672	2911097.176441241	5786	eukaryota	483.1073135174536	210929.33361490275	protists
eimeria_acervulina_gca_000499425	3411.053007135576	9882696.359263822	5801	eukaryota	669.4917722440658	494951.89692472055	protists
eimeria_tenella_gca_000499545	2504.920223281777	6351220.695658661	5802	eukaryota	505.0990110529377	309918.27609280817	protists
eimeria_maxima_gca_000499605	3145.8169060591053	7968377.201774902	5804	eukaryota	664.6769027571405	479099.697275214	protists
plasmodium_berghei	2317.6312461758107	5374240.67753837	5823	eukaryota	691.190988431094	589492.9426065543	protists
plasmodium_falciparum_camp_malaysia_gca_000521115	2342.8012227362856	5808636.192343572	5835	eukaryota	644.9692307692308	564143.1923026014	protists
plasmodium_falciparum_nf54_gca_000401695	2469.3232700135686	6874592.878345608	5843	eukaryota	651.7090198742993	584558.190715434	protists
plasmodium_knowlesi	2541.275970207761	6478383.226707301	5851	eukaryota	728.6611725042143	621941.0697004609	protists
babesia_bovis_gca_000165395	1666.1479881177424	1707093.259022829	5865	eukaryota	501.8536585365854	190012.09459897253	protists
theileria_parva_gca_000165365	1675.451090953665	1700301.4526710752	5875	eukaryota	465.57332350773765	167630.3124970351	protists
paramecium_tetraurelia	1432.6576106150044	1749111.8089793115	5888	eukaryota	456.3850130508603	190777.09714892847	protists
stylonychia_lemnae_gca_000751175	1858.5883799421408	2615540.481942213	5949	eukaryota	574.8023166023166	264329.82336448686	protists
stentor_coeruleus_gca_001970955	1272.578088207217	1239395.8646578058	5963	eukaryota	423.74116051535407	137298.31035722978	protists
caenorhabditis_briggsae	3073.5930177176606	16752026.476367531	6238	eukaryota	398.5557601141437	156503.0606736915	invertebrates
caenorhabditis_elegans	3148.749987618245	15777644.91995728	6239	eukaryota	410.2038550812393	177582.89430415665	invertebrates
onchocerca_volvulus	5274.225138235537	66875465.78588833	6282	eukaryota	411.4138130208763	207041.90491233705	invertebrates
helobdella_robusta	3919.022106520997	26681922.81740211	6412	eukaryota	375.8830161179698	131244.18835473855	invertebrates
daphnia_pulex	2123.9378228179144	10598062.577715484	6669	eukaryota	329.8278106115944	115401.87970335133	invertebrates
tigriopus_californicus_gca007210705	5089.485780317134	33921680.75957244	6832	eukaryota	519.3252523953444	237910.5133680633	invertebrates
ixodes_scapularis	10831.704285853752	259380631.891558	6945	eukaryota	284.0450019523624	79060.56994719578	invertebrates
acyrthosiphon_pisum	8663.94587650228	410951929.647427	7029	eukaryota	387.79749274067456	176158.79185299034	invertebrates
tribolium_castaneum	6925.458167570826	204633676.71676823	7070	eukaryota	452.6319410912603	322540.40765236766	invertebrates
bombyx_mori	6042.478629556179	50945727.861788526	7091	eukaryota	403.0815677249036	200888.5176489908	invertebrates
aedes_aegypti_lvpagwg	46726.70859167405	11623571809.091896	7159	eukaryota	547.5910870013047	283636.74577139766	invertebrates
culex_quinquefasciatus	5685.6909570261005	77716516.89789598	7176	eukaryota	439.8451558903536	168677.7660298946	invertebrates
drosophila_ananassae	6510.95161851723	417815836.6851417	7217	eukaryota	528.0719505340079	311813.73581074085	invertebrates
drosophila_melanogaster	6953.272029827203	589268959.20966	7227	eukaryota	535.6490847261414	376540.8819146832	invertebrates
drosophila_mojavensis	7069.50227188082	283549453.6902697	7230	eukaryota	537.7878991848029	294423.1686224449	invertebrates
drosophila_persimilis	3623.0453952826833	79473672.48759717	7234	eukaryota	429.4608358208955	173597.7543619499	invertebrates
drosophila_sechellia	3321.10677194048	58649121.49649508	7238	eukaryota	440.6968513697781	197417.28062356968	invertebrates
drosophila_virilis	7535.832158590309	344473755.91954726	7244	eukaryota	544.3979223458336	326718.6018141328	invertebrates
drosophila_willistoni	5204.161793513749	170815637.5323756	7260	eukaryota	525.4231917838152	319346.6887569738	invertebrates
lucilia_cuprina	12148.215887074452	784727334.3328787	7375	eukaryota	516.9818853201422	360797.22542434384	invertebrates
nasonia_vitripennis	16459.643802382	3822781849.708052	7425	eukaryota	550.9087852980726	338071.70471623825	invertebrates
apis_mellifera	16884.968193256165	2281639931.5578766	7460	eukaryota	605.8318122555411	466276.2035054315	invertebrates
strongylocentrotus_purpuratus	15728.374102816337	302882454.71809053	7668	eukaryota	585.202938510349	358918.09210996726	invertebrates
petromyzon_marinus	12822.52117138742	396619015.6469255	7757	eukaryota	398.65127710843376	182272.4507731423	vertebrates
callorhinchus_milii	23512.721246458925	1830657064.711104	7868	eukaryota	486.2818940643034	235002.71843961324	vertebrates
latimeria_chalumnae	40811.44223005774	3459537957.238703	7897	eukaryota	520.1846381847915	230335.4455921827	vertebrates
lepisosteus_oculatus	25098.340603020555	1748264194.2065024	7918	eukaryota	564.1376562414715	332882.2879274541	vertebrates
clupea_harengus	17162.505358478025	941307766.2606162	7950	eukaryota	590.1855968459022	358708.63209319895	vertebrates
danio_rerio	31084.05080213904	2666395461.275308	7955	eukaryota	538.1583287948339	315453.4634351996	vertebrates
astyanax_mexicanus	23711.471457505064	1682850118.1993089	7994	eukaryota	519.750693975542	215968.81258626856	vertebrates
electrophorus_electricus	10205.092227479843	249248966.22779047	8005	eukaryota	489.1706975113915	189581.07991773632	vertebrates
esox_lucius	20864.165308254964	1131724211.341632	8010	eukaryota	573.210785103982	263637.5873440775	vertebrates
poecilia_reticulata	16380.051231570198	846265577.2308806	8081	eukaryota	522.4257646698464	218902.4127126624	vertebrates
xiphophorus_maculatus	18145.16911548015	963586896.881764	8083	eukaryota	546.5107515525326	231361.9712299844	vertebrates
oryzias_latipes	17945.96974576271	1003859412.2151957	8090	eukaryota	555.8028115340644	223176.27374209496	vertebrates
haplochromis_burtoni	17767.521090088525	894815414.713221	8153	eukaryota	534.2128886768724	228447.019079256	vertebrates
lates_calcarifer	13680.627903264429	622273561.4551849	8187	eukaryota	518.5896419178637	207296.88662896864	vertebrates
notechis_scutatus	24989.229381986923	2058645676.8263564	8663	eukaryota	534.446230741485	312084.9268082953	vertebrates
anas_platyrhynchos_platyrhynchos	28022.9129152624	2919434359.3634057	8840	eukaryota	526.0814506898006	226586.35220379973	vertebrates
meleagris_gallopavo	23409.23104156341	1591050729.1979258	9103	eukaryota	530.5141203049986	245388.3065858885	vertebrates
sarcophilus_harrisii	36979.19060038323	3921621464.629183	9305	eukaryota	566.0103802618538	265243.4210190051	vertebrates
callithrix_jacchus	49478.61153316451	17773476297.879566	9483	eukaryota	506.2601248174213	312167.7933890956	vertebrates
cercocebus_atys	52454.99927696905	11998137523.651917	9531	eukaryota	529.172580567926	333901.3966104604	vertebrates
macaca_fascicularis	51498.7794337507	12798630226.944992	9541	eukaryota	517.7779472456486	322502.1542702825	vertebrates
macaca_mulatta	56692.79659838725	13425744326.827003	9544	eukaryota	545.7929931941717	328014.0626642224	vertebrates
macaca_nemestrina	53449.03138175546	12218398248.305227	9545	eukaryota	525.844924364951	298147.5057539331	vertebrates
papio_anubis	48608.241287737605	11861084685.388126	9555	eukaryota	521.3301961147944	329602.2043000404	vertebrates
mandrillus_leucophaeus	47833.46137463698	8754004561.570755	9568	eukaryota	508.2833493743985	309471.0982067897	vertebrates
gorilla_gorilla	48930.22050308056	12118252848.388138	9595	eukaryota	513.4298040295562	315897.2851975979	vertebrates
pan_paniscus	47740.5030179174	11066923431.957323	9597	eukaryota	516.4795721219547	299612.4145332005	vertebrates
pan_troglodytes	48873.06647498069	11943148641.10442	9598	eukaryota	518.5205830043813	315247.7411714109	vertebrates
homo_sapiens	68287.08980776933	17536003334.368706	9606	eukaryota	552.8451052682643	354913.1571542775	vertebrates
canis_familiaris	50544.38917768206	11140015215.086626	9615	eukaryota	561.1041878479787	313437.9530254552	vertebrates
vulpes_vulpes	42503.5130267443	6001837595.353025	9627	eukaryota	568.6895837647546	342010.1960519934	vertebrates
ursus_americanus	23994.74783370655	1498995554.0652242	9643	eukaryota	455.9431595452764	188944.148481652	vertebrates
ailuropoda_melanoleuca	36008.55492943183	5048446872.961089	9646	eukaryota	531.2212050685285	304148.82667352445	vertebrates
mustela_putorius_furo	43043.26378704169	6109796124.374434	9669	eukaryota	534.2890016580415	318853.7254377682	vertebrates
felis_catus	53519.61621428206	12779679354.69515	9685	eukaryota	563.9356365116515	306944.4508003962	vertebrates
loxodonta_africana	38075.41975740029	5738609015.861884	9785	eukaryota	512.5890992656242	254624.0559223352	vertebrates
equus_caballus	49638.4905317521	10815175404.84234	9796	eukaryota	571.6354356369213	335746.08855781885	vertebrates
sus_scrofa	56274.51517999812	12369521067.549118	9823	eukaryota	531.1185599566904	240530.72783327007	vertebrates
capra_hircus	39925.07965140796	5924712509.838281	9925	eukaryota	521.7220856575589	255002.87075788685	vertebrates
ovis_aries	38875.83103102146	6064483000.57637	9940	eukaryota	516.309849198869	312923.5461492774	vertebrates
oryctolagus_cuniculus	50011.49036360988	12020785180.4947	9986	eukaryota	525.879311158292	234056.12141539788	vertebrates
mus_musculus	49193.42264890997	13419620355.67837	10090	eukaryota	532.9572532969531	327617.3173776933	vertebrates
rattus_norvegicus	38576.17519101124	8100283683.740173	10116	eukaryota	513.3268482490272	233519.58205210333	vertebrates
cavia_porcellus	44419.2051948052	8237268311.704163	10141	eukaryota	540.9431687400669	246132.16266940604	vertebrates
octodon_degus	39270.69302372135	8691168617.760723	10160	eukaryota	546.1164209704189	321530.9552031235	vertebrates
heterocephalus_glaber_female	43199.153605468375	9662701240.29446	10181	eukaryota	488.0228947123007	296700.65552616905	vertebrates
trichoplax_adhaerens	3479.223090277778	11211496.829469398	10228	eukaryota	453.38383399895815	181685.2338343224	invertebrates
